,Company,RCRP,"RCRP, no extended terms",HRP,IVP,LW,OAS,dateThru
0,PKX,3.193479628418486e-08,4.1710299799110835e-05,6.670851876509146e-05,0.0002444609509780507,-0.0008589673721781935,-0.001653164911548335,2019-11-01
1,PUK,7.165642712303535e-09,1.9500535178191605e-05,4.643841786907457e-05,0.00018510533503966498,-0.0010144400355274418,-0.001742396954301399,2019-11-01
2,UBS,6.541959256895258e-08,3.6640197638319835e-05,0.00010997305712891434,0.0003478005089494008,-0.00018940369143683708,-0.002669553426831497,2019-11-01
3,GPC,1.2484151602140708e-07,0.00011557900526962514,0.00012745214557317492,0.0004208490173171725,-0.0012752031148978986,-0.0054800140418342115,2019-11-01
4,LVS,3.519271369538552e-09,8.839297011146542e-05,3.7344351310712245e-05,0.00019566266286887726,0.00036012042128382614,0.0009090504974537445,2019-11-01
5,NCR,-2.408838765655535e-07,4.347385081751534e-05,3.806701651281355e-05,0.00016761056281587122,-0.0016538706807878432,0.00014007528140615392,2019-11-01
6,HST,4.5741208477191977e-07,4.3787345097963734e-05,0.00010455238649518309,0.00044261646559521576,-0.0004449514312267068,-0.0023208693443273103,2019-11-01
7,SYF,1.693572243555075e-07,2.949634993092992e-05,4.0785239450001964e-05,0.0002981585233171632,-0.002020212207206067,-0.004073628277309943,2019-11-01
8,AFG,1.396036243492218e-06,6.0823002005918344e-05,0.00024274402588557036,0.0006461706957989414,-0.0006379285878981203,-0.002045766095619862,2019-11-01
9,RGA,8.099763278041877e-07,5.0637839414399924e-05,0.00014453938204562648,0.0005379656848403175,-0.0005140905798287748,-0.0043505298692168085,2019-11-01
10,CW,1.8319268970669298e-07,8.55795037445936e-05,0.00010584212374083043,0.0003665714729469169,0.0008701944680936953,0.002027224669736951,2019-11-01
11,CNI,5.749367543890196e-07,2.4756409631390184e-05,0.00013705683968243476,0.0005591045372994573,0.0017350428355106364,0.00435905989967316,2019-11-01
12,HON,3.055266047088529e-07,1.2110762463718113e-05,0.00014973302575043858,0.0004615801534707466,-0.0005689015583885413,-0.0019781343391838788,2019-11-01
