,Company,RCRP,"RCRP, no extended terms",HRP,IVP,LW,OAS,dateThru
0,WMS,-5.110545339989832e-07,5.209630425401048e-05,6.113710987723717e-05,0.0002123256713787561,0.0008068201081740203,0.002670279568097746,2022-06-01
1,CAE,-2.602438110006471e-07,1.5575085720070696e-05,4.184493109191449e-05,0.00018237917304855987,-0.003975251078731942,-0.008392580421715074,2022-06-01
2,CNNE,-3.2914657203858956e-07,1.6811678914951512e-05,5.8358640493760127e-05,0.00019685927597275847,0.0013817687647447688,0.0025971067330707695,2022-06-01
3,EB,-1.904752096326774e-08,1.0041258171486506e-05,3.7417069633913386e-05,0.00011673697398806573,0.0009130200674607967,0.0024609243308377615,2022-06-01
4,PRO,-1.5760067240258134e-08,9.418924214940878e-06,2.353881610676318e-05,0.00010950188634701145,-0.00029980313315498835,-0.0025548248657128667,2022-06-01
5,ADT,-5.469344017961874e-07,8.800081568075659e-05,6.102997710455489e-05,0.00021195360541207715,0.0004654371197833605,0.001339647302645466,2022-06-01
6,IIPR,-5.7053028313279335e-08,2.963722707520628e-06,4.65782023440279e-05,0.00021142534135286007,-0.00243184216294478,-0.003260457078351156,2022-06-01
7,CDAY,9.895558643292776e-08,1.34940888145743e-06,6.468743139132614e-05,0.00017176913616418713,-0.001010274396853135,-0.0016830838129048057,2022-06-01
8,CRM,6.204757107100624e-07,1.849454931447669e-06,4.737073218337911e-05,0.0002354210649675377,0.000502116973146784,5.144938489251247e-06,2022-06-01
9,GWRE,3.010901044733754e-06,2.5768550924782843e-06,7.228317877803506e-05,0.0003281040267363462,0.0014244890536579656,0.0007486712364163749,2022-06-01
10,TYL,9.975657931760385e-07,2.0742443848111103e-06,5.3143024058134726e-05,0.00026410795743940957,-0.0011561388397022228,-0.0024525740862144443,2022-06-01
11,CALX,-1.933583179425154e-06,3.4440930019665613e-06,3.795130031521888e-05,9.570713168708777e-05,0.001015977001950645,0.0009202781252398885,2022-06-01
12,GLOB,-1.702027466120866e-06,2.6030645837201216e-06,4.085434814711854e-05,0.00011712277062125766,0.005909452243576898,0.009297445901478369,2022-06-01
13,KEYS,9.58251393496653e-06,8.848103485913307e-06,0.00020074786521030765,0.00039811320913626556,-0.0034835171375852225,-0.005239844939645088,2022-06-01
14,DFIN,-3.9856258720474375e-07,1.3727633651434263e-05,5.250217664378158e-05,0.00015851319036199667,-0.0031094594199634375,-0.0029824615992223467,2022-06-01
