Date,RCRP,"RCRP, no extended terms",HRP,IVP,LW,OAS
2021-02-01,-0.0007131407704896388,0.00491333251096396,0.006870013842074909,0.008639115077342987,-0.0059549550268387375,-0.006101715990441566
2021-02-02,0.00014201179136829624,0.0028746920061309793,0.005395635268713405,0.006769715074750879,0.0026519052883166336,0.0018916060294748092
2021-02-03,-0.0011942777253157004,-5.237777924609014e-05,0.0006533938839667743,0.0009099994126415915,0.0015648945152174276,0.001012746584471856
2021-02-04,0.0011885436694286538,0.0032245579007757685,0.004272448703789346,0.005281158595456001,3.440565819611873e-05,-0.00038036026154545863
2021-02-05,-0.00018710394896310323,0.0034382045211850385,0.004405629999283201,0.005383596171888533,0.0016959828752295815,0.0007328201204842841
2021-02-08,-0.0007169668460408931,0.0033411117144457277,0.005372258027985582,0.006823189586904971,0.0012456917265920493,0.00030125398209581995
2021-02-09,0.000471405030913378,0.0016733007253695558,0.0022371898641416373,0.002494368542769282,-1.7583255596409032e-05,-7.30185210987943e-05
2021-02-10,0.0012137434991928166,0.0015997529739329196,0.0011851696221465131,0.001335074658574976,0.0033419181298535495,0.003650807902702366
2021-02-11,0.002623753028306569,0.0006537629817745703,0.0007017380202301314,0.0006893564506046943,-0.0025413266158516635,-0.001969765424158567
2021-02-12,-0.0020367911064844003,4.2217860213367225e-05,0.0007632089136913842,0.00046651301300353477,0.0020274186740829527,0.002639032658268581
2021-02-16,-0.0035471157421418775,-0.002049644413189946,-0.002326390284197566,-0.0028568961673940668,-0.0006985302908061404,-0.0005111900114650425
2021-02-17,0.0019190418410289793,-0.000702792401715652,-0.0014733545469422537,-0.0014637850688966727,0.0013655054523340365,0.0020315695697818055
2021-02-18,-0.0014092650978335267,-0.004127634587902448,-0.00478522914649389,-0.005595922402326746,-0.004566026490047903,-0.004210087132215331
2021-02-19,0.0006288088891989309,0.00022627710805725725,0.0012935276902606076,0.0018011230488449363,-0.0052355507679826925,-0.00464592688659928
2021-02-22,-0.002995126844931989,-0.004134042304806085,-0.003796892076384472,-0.003881945881896862,-0.0024410997543138106,-0.0012546388581399209
2021-02-23,-0.002249582913882614,-0.0034660794528730077,-0.003431910155206396,-0.002978445583232855,-0.0013140523011759195,0.0007735201003922288
2021-02-24,0.0029189673961347905,0.004025283843922867,0.005143190913694827,0.006743845126727404,-0.004524255444399297,-0.005002638022910579
2021-02-25,-0.0030619742344293616,-0.008683196986458053,-0.011174734041836996,-0.013119624717631544,-0.005117203009423659,-0.005208614316450287
2021-02-26,-0.002054950621244743,-0.001834097181146787,-0.0027543381808959834,-0.002191123013580257,-0.0041944607666166145,-0.0043420207976362655
