,Company,RCRP,"RCRP, no extended terms",HRP,IVP,LW,OAS,dateThru
0,HLX,6.118203496583456e-07,1.532393784556775e-05,6.066450071449321e-05,9.375283437989865e-05,-0.0007644587642778595,-0.000869515337100668,2019-03-01
1,OII,6.275632518195544e-07,1.5461645047303345e-05,4.218099576915764e-05,9.459533587053024e-05,-8.205150542048409e-05,-9.922990589188609e-05,2019-03-01
2,FTI,1.5186053863193463e-07,1.012321137434904e-05,4.8374959102618446e-05,0.00015878104086134836,0.00056727033582727,0.0009367477611959317,2019-03-01
3,HAL,-2.5358766184069987e-06,7.646258613554985e-06,4.16897709354362e-05,0.0002142529355000583,0.0004116117233815638,0.0009521582915860432,2019-03-01
4,SLB,-7.4737567173920474e-06,9.446723358115517e-06,5.15064625452376e-05,0.00026470308063412484,0.0006141065365900654,0.0006118790853858556,2019-03-01
5,CLB,-1.4095590391049488e-06,5.841190699084657e-06,5.7518885087763863e-05,0.0001630703665741638,0.0005127329394123248,-5.110623660253295e-06,2019-03-01
6,OIS,-4.1194884565101375e-08,3.6114097060595677e-06,3.5046980753182066e-05,0.00010082086597667703,-0.00017917484173859459,4.8493666458066493e-05,2019-03-01
7,NOV,-3.6750906415929434e-06,1.2777339453099229e-05,4.2723522958040774e-05,0.00020384465692367657,0.0005659477630056222,0.0009759635709010595,2019-03-01
8,DRQ,2.8837762600459436e-06,1.021322325084258e-05,5.1642564748366634e-05,9.124974161361934e-05,0.0003884676627697383,0.0005178080139683638,2019-03-01
9,AROC,2.2543597288996077e-09,1.872059827551993e-05,2.0354553379455136e-05,0.00011459801596975395,-0.0019138339763934739,-0.002405839583425729,2019-03-01
10,MRC,4.658068856383863e-09,2.2834760615715467e-05,2.4827804486753335e-05,0.0001397828329625108,-0.0005469238673333142,-0.0005539207985994078,2019-03-01
11,DNOW,1.6231891199839492e-09,2.8694890950289683e-05,4.8946773201749794e-05,0.0001024057790876805,-0.0007613620769036586,-0.001982162170418369,2019-03-01
