,Company,RCRP,"RCRP, no extended terms",HRP,IVP,LW,OAS,dateThru
0,EGO,1.7711500150658086e-05,0.00018470471890544922,8.914892751981297e-05,4.520310897055865e-05,-0.00016156503379508746,-0.001211935487784456,2019-04-01
1,AEM,-8.437938056660446e-06,0.00010051204684117265,0.00011693218474504906,0.000229726293231686,0.0014182865888361026,0.0015813906861637634,2019-04-01
2,FNV,-7.631771529966638e-05,0.0001575469959860682,0.00021554144164426405,0.00036008307994023653,0.0016740625675509223,0.002096857843201484,2019-04-01
3,IAG,-9.407360562805531e-08,3.076081400012071e-05,5.799170443992581e-05,6.79566660075195e-05,0.0005281424037810808,7.06182010501124e-05,2019-04-01
4,KGC,-1.6516767524241771e-06,5.682884389520192e-05,6.390376120457714e-05,0.0001255460523302324,0.0011358329318730224,0.0007173065690809854,2019-04-01
5,AGI,6.758945017023749e-06,7.043244234730515e-05,7.88343534859991e-05,9.337242886486756e-05,0.00042143805618883993,-0.0013697176797423537,2019-04-01
6,EXK,6.270897769149103e-08,2.4510139843017162e-05,3.181533702761498e-05,7.596628556565092e-05,-0.0006428785292239131,-0.0027538305465830467,2019-04-01
7,AG,1.061478580698513e-07,2.7748311080586918e-05,3.6018638597343144e-05,8.600261512228473e-05,0.0002519180296851293,-0.000480259680454419,2019-04-01
8,CDE,6.848180828067347e-08,2.4911025228813575e-05,4.869269507636052e-05,7.820025905491782e-05,0.00011972714389347906,0.0006394026910117244,2019-04-01
9,HL,5.0392077845659517e-08,2.33092906389144e-05,4.5561841437747156e-05,7.317212156491762e-05,-0.0007111082724260473,-0.0028564742663631576,2019-04-01
10,FSM,5.154099992560469e-07,0.0001205335146233687,7.082876827300483e-05,0.00012157055037249873,0.0004349264721592032,-7.910127847776906e-06,2019-04-01
11,MUX,-9.486067358354972e-07,0.00011774138331052467,8.419144897281049e-05,0.00011427585866785307,0.00033711959286451967,-0.00047799830511918696,2019-04-01
12,SA,-9.888960333657963e-07,0.00011967059858006048,0.00010270617019806764,0.00011614829064786384,0.0017824842148334273,0.002493089571100643,2019-04-01
13,AU,-3.6119338862757994e-06,0.00011080698501173416,0.00010880770906452173,0.00012482031341101262,0.00158223988579891,0.0018215731066401947,2019-04-01
14,GFI,-1.8133641281297072e-06,9.478413962356602e-05,6.391192101928233e-05,0.00010677112108910662,0.0020045866495174026,0.002565242099504733,2019-04-01
