,Company,RCRP,"RCRP, no extended terms",HRP,IVP,LW,OAS,dateThru
0,KOS,2.9547940036196126e-07,2.800455064707652e-05,6.043293069547308e-05,0.000135138366363791,-0.0030175343929309726,-0.002426311680768391,2020-05-01
1,EGY,-1.2637263754519898e-05,9.424618302467866e-05,0.000295861398718041,0.0004547930574028866,0.0009753824804223047,0.0028659478475417024,2020-05-01
2,MTW,-1.6711057211665042e-05,0.0001639761179506211,0.0003576363014120855,0.0005336003573888338,-0.00031086286806289307,-0.0011589032215231756,2020-05-01
3,SSL,2.8563845578328003e-06,3.8293812319157476e-05,0.0001848925389858501,0.00012079587996591547,-0.007048684629803252,-0.0057857009913711965,2020-05-01
4,FET,5.612313287216605e-06,1.578254258500199e-05,3.6698212677475206e-05,7.046627615657147e-05,-0.004919047147169502,-0.0031902248157759687,2020-05-01
5,PDS,1.332262078207154e-05,6.81202697399414e-06,9.36774729144883e-05,0.0002459426600255401,0.0002186766848713179,0.0018553225070149922,2020-05-01
6,RIG,7.189090494761158e-06,5.590149866792236e-06,0.00013768109013627216,0.0002018277868583033,-0.0014154980667936946,-0.0028142446505880206,2020-05-01
7,APA,1.272203071778508e-06,2.741609053513963e-06,8.271347606002654e-05,0.00016195950644973297,0.0006276328960692464,0.00039409331054079575,2020-05-01
8,GPRK,-8.386869980136414e-06,7.887234198903967e-06,0.00023795535554374544,0.00046593534423540895,0.0002667640094139939,-0.0009095602469863638,2020-05-01
9,SBR,-0.0001133339332990619,2.9539953876794493e-05,0.0006423118641668909,0.0010618551146338257,0.002469888627874504,-0.0010322743735449297,2020-05-01
10,ESTE,4.972875192030759e-06,1.8192628410677998e-05,0.00013466547138423903,0.00023623675668565892,-0.004702338783652214,-0.004902189928364217,2020-05-01
11,TDW,-6.356793764257723e-06,3.0781889869560596e-05,0.0002491614575511361,0.0004119079575362614,0.0021150201378044124,0.0029683943273533914,2020-05-01
12,CLB,-2.164362254358332e-06,8.222553020861544e-06,0.00012570386755386017,0.000314857121738659,0.00028110689741098514,-0.0018490348560914137,2020-05-01
13,SLCA,-6.191793275868272e-08,4.303122379372133e-06,6.578481455483148e-05,0.0001647747023851187,0.0012570416211946144,0.0023480670177195516,2020-05-01
14,MRC,-7.509915984058645e-07,9.84642212673382e-06,0.0002099511750809227,0.00022595298598890415,0.0041471920929850425,0.006434597200704755,2020-05-01
15,GHL,-1.6538180352234653e-06,6.724147782443983e-05,0.00017052343689746418,0.00038131956242837836,-0.0002810187271972025,-0.0008719774637334913,2020-05-01
16,VRTV,-4.90745606511336e-07,4.2882583130918925e-05,0.00010250523994019263,0.0002431827551139457,0.0006122234514822917,0.00044658525109414417,2020-05-01
17,SRT,-3.990620890757157e-07,4.2031757667785335e-05,0.00024260496982874988,0.00024110749584993127,0.0033427943536983255,0.005028907065806684,2020-05-01
18,CVI,-1.4488251504212547e-06,4.050383303305708e-05,0.00023541975846005553,0.00037033104579290804,0.0007360887076386571,0.00038376008319203266,2020-05-01
19,SXC,-9.049954705310151e-07,3.355516911330194e-05,0.00020956634652084788,0.00030679863951012064,-0.0004809314760339217,0.0017031980150938222,2020-05-01
20,DRQ,-1.4249820481389317e-05,0.00013177692505112243,0.0003609547589337512,0.0006338823380145587,0.002311992210914156,0.002228636412028253,2020-05-01
21,TMST,-5.7804890913689314e-06,8.694970502764984e-05,0.0002902223954549455,0.0004182513918216021,-0.001142793768984854,-0.0023119118100308755,2020-05-01
22,TISI,-7.660952673262605e-06,0.00014171550331257526,0.0002545484016072531,0.0004498729003475898,-0.00022608629384035598,0.0006075830512590921,2020-05-01
23,SUP,5.627798798273176e-07,0.00013438085193497878,0.00013358558046475225,0.00025779269134879957,0.00043285963626843335,0.001429438046850174,2020-05-01
24,BH,2.9831361505134544e-06,0.00016629595610857003,0.0004687141459897027,0.0004896748955136364,0.0028901659771280817,0.0020882979150777005,2020-05-01
25,CVEO,4.023998851180174e-07,7.924936581495511e-05,0.0002885754039509815,0.00023335759830277813,0.00044977219742909166,0.0002318121038703866,2020-05-01
26,DFIN,-4.796224905660949e-06,8.141848876227924e-05,0.000287128662548298,0.00037409740059636515,-0.003768909916007393,-0.002222247972090659,2020-05-01
27,PBI,-3.861794900352091e-06,7.444453691037425e-05,0.00048417469830668616,0.0003420538525111228,-0.0024588645308723967,-0.002138053971214825,2020-05-01
28,SJT,-2.5308515420463463e-05,0.0002479598847201814,0.00047234357844845224,0.0007186187793141503,0.0011301426360451042,-0.001286211346909846,2020-05-01
29,NOAH,-7.746815993484878e-05,0.000228534421592416,0.0008164915740136204,0.0009731062028269066,0.000651583989794122,0.0016616871600103464,2020-05-01
30,TGH,-2.4161969785864753e-05,0.00013291431024905863,0.00043881081917035685,0.0005659529923176835,0.001566456808393954,0.0019458038317090181,2020-05-01
31,MTN,-9.314904156625353e-05,0.00035484982230769347,0.0009424744290365315,0.0010102489594776447,-0.0002545096120124342,-0.004862842162070305,2020-05-01
32,BZH,-2.4138167295941573e-06,4.771476860553783e-05,0.0002617794396073018,0.0003457836178074554,-0.0008416572401551453,0.0021518941672034023,2020-05-01
33,MOV,-4.615830179612881e-06,6.150176798669714e-05,0.00034557010008294314,0.00044569646793858023,-0.0005163959501981746,0.000473381531860739,2020-05-01
34,MOD,-3.3530779535991586e-06,7.982781805434854e-05,0.00021504126035954657,0.00036224164228091564,0.0020662191587492913,0.00191386391365909,2020-05-01
35,KODK,-9.23659819687558e-06,0.00018380729173768248,0.0003234536303576679,0.0005327296309439179,-0.0011247216108148394,-0.0016078874408965718,2020-05-01
36,BWXT,-0.0006184811178754891,0.0009027612718964041,0.0009988819404842012,0.001845109335909691,0.006584507305529585,0.011943596033818392,2020-05-01
37,CCU,-0.0013714985090132348,0.0013113704722046752,0.001833129075161153,0.0026802455714768497,0.004919368402965511,0.0013328437896084541,2020-05-01
38,AMC,-3.6566853638954595e-07,5.683468346628436e-05,0.00011553070322766504,0.0001664960326281945,0.0002691387578789458,-0.0010866127305754055,2020-05-01
39,CALX,-3.606589709941917e-06,0.00018210163071537126,0.00031747930496220513,0.0005334629701460362,0.000419811144945874,0.0029966360361380197,2020-05-01
40,ATEN,-1.1803210434838395e-05,6.922323281229432e-05,0.0007359862454872429,0.0007024064072077835,0.0028318484960032416,0.003141378127694199,2020-05-01
41,MX,-8.806953539288007e-06,6.234215618133865e-05,0.0003005826164595162,0.0006325842952128551,0.003097956074440017,0.0024509584559482453,2020-05-01
42,NEWR,-2.3245420641070527e-05,4.952281569242098e-05,0.0005564367343987488,0.0007914573897772843,0.002850430642756965,0.00166429155136465,2020-05-01
43,PBH,-8.383929014117352e-05,8.469975620263824e-05,0.0008462008257891007,0.0013536437099066587,-6.604260882887336e-05,-0.00024995664524149843,2020-05-01
44,BB,-4.7251854389860505e-06,3.2521510373416465e-05,0.0003137995178425802,0.0005366318505618743,6.655839547342264e-05,-0.0019664696513649483,2020-05-01
45,HLF,-1.7711490392904978e-05,5.29692486927383e-05,0.0006288302675548521,0.0008740364645576633,0.0030228673824940606,0.005122151289298362,2020-05-01
46,ELF,-5.9067951973268075e-06,9.456497271684948e-05,0.00041627041288446495,0.0005432504288783109,0.00295445953636709,0.001722207135134289,2020-05-01
47,MED,-1.2209340785510023e-05,8.50614634288396e-05,0.00045476229784786664,0.0007489956159459714,0.004092749073618074,0.004678889979483108,2020-05-01
48,USNA,-9.095741002036798e-06,7.418749596132553e-05,0.0005744255002698781,0.0006532465701054811,0.0012157417211441513,0.0022101992490382184,2020-05-01
49,BNED,2.4031405019196544e-06,3.00671386588444e-05,0.00015503993981348668,0.00020238128850219694,-4.339748558119936e-05,-0.00043770075890660234,2020-05-01
50,CATO,-3.899552038685995e-05,0.00012297259510855326,0.0007790161185790133,0.0008277259945121927,0.0007450924309801157,-0.000937557181515802,2020-05-01
51,SB,-1.2797112452174876e-05,4.3868578453781905e-05,0.000350233081088415,0.000486803036940256,-0.003249463701209942,-0.0027106969958263357,2020-05-01
52,SGU,-0.00028753297122432526,0.0001034695904954869,0.0005455793229041277,0.0011481865303028832,0.006605320245952358,0.009162323565544424,2020-05-01
53,CIA,-1.2076687147126401e-05,5.9122340453024714e-05,0.0008606042028234732,0.0004211536032941199,0.0039832492090257935,0.004844154024250224,2020-05-01
54,ALX,-0.0013543367974026674,0.00028887377891400815,0.0008484616759311369,0.001932462422964921,0.005779567136440644,0.012060966366508868,2020-05-01
