,Company,RCRP,"RCRP, no extended terms",HRP,IVP,LW,OAS,dateThru
0,CORR,1.5456405821412186e-05,0.0005655536705341872,0.00013934160728996226,0.0001363058111231206,0.0004877099292842071,0.0014437198904696093,2022-09-01
1,FENG,7.697458998279623e-06,0.00034878302773402387,7.660277916628025e-05,8.406125886577583e-05,0.001355565277081692,0.00011330947770031393,2022-09-01
2,CANG,3.6024038221542986e-06,0.00023253303480976463,6.948045294139467e-05,5.7887319484523164e-05,0.0027786392519642262,0.002399782787674809,2022-09-01
3,KODK,2.249251186460633e-06,7.604287031596296e-05,8.010534520491414e-05,7.132464163455556e-05,0.00011174263712624395,0.000519791278488562,2022-09-01
4,PAGS,9.64779881572428e-07,4.778907480777227e-05,4.525017721371461e-05,4.4823908152712144e-05,-0.0038817136968729926,-0.00402935783271382,2022-09-01
5,SNAP,3.6621733121021204e-07,3.6484780481889924e-05,3.77269911669767e-05,3.4455982706623644e-05,0.004389469859190598,0.004797511235685583,2022-09-01
6,RCUS,2.8633681267161327e-06,3.848967647001435e-05,0.00013655231193579045,8.185468680888927e-05,-0.0013702448871819616,-0.0012743806217311038,2022-09-01
7,ZYME,1.92693720576256e-06,3.151293691750442e-05,0.00014381121416079303,6.701749191942867e-05,0.0018831980881203554,0.00318279165595808,2022-09-01
8,TDOC,1.3210774932511185e-06,3.9564124642625915e-05,8.620793874727448e-05,5.646315551227239e-05,0.0006749756820628656,0.0011659850497177217,2022-09-01
9,ACB,7.254157481258654e-07,4.251755201967035e-05,2.6170399366966325e-05,4.3175347973134166e-05,0.0015364877851768413,0.0027408707706364026,2022-09-01
10,CGC,3.3862095708598997e-07,3.639964828316148e-05,3.512657425652793e-05,3.696279315418068e-05,-0.001732200638804475,-0.003958510625056796,2022-09-01
11,SOL,1.849058740452308e-06,0.00011005993517583388,9.459624488694686e-05,6.255113519025831e-05,0.0022023867955810687,0.002977954285052065,2022-09-01
12,CMCM,1.3372663972012859e-05,0.00031277324226023213,9.383704522978525e-05,0.00010297355051750827,0.001638676992397001,0.002933275975328535,2022-09-01
13,QD,1.640177033137695e-06,9.994650431301586e-05,4.9762524622578604e-05,3.2905137078067976e-05,-0.0018925124279573794,-0.002620164806295677,2022-09-01
14,CAF,0.0010189687446108208,0.0006756181124968785,0.0018242533878346332,0.0010939471827236702,0.004765473985582034,0.005788216631550178,2022-09-01
15,TDF,-6.923107983914584e-05,0.00022166555204853778,0.0003160844816663684,0.0003589163784763176,0.002401913732199226,0.002474730161299604,2022-09-01
16,CHN,1.4000256745991273e-05,0.00011374739306440587,0.00021700090340067573,0.0003080594365247971,0.0007028717490547028,-0.0009999523067715146,2022-09-01
17,BABA,-7.42909791324388e-07,1.0175039727048985e-05,6.321489284350378e-05,8.974130505525148e-05,0.0019348031897420076,0.004975494484151238,2022-09-01
18,HUYA,-6.393151597957167e-08,6.918267493093449e-06,7.60527264233266e-05,6.10173886497043e-05,-0.0019786824766640522,-0.0008064559529988154,2022-09-01
19,TME,-5.960646307579568e-07,9.6907147073172e-06,4.966382754669447e-05,8.474163465737313e-05,0.0013068012502031375,0.0015980971908538535,2022-09-01
20,VIPS,-8.395678386740986e-07,1.0518579991494102e-05,0.00010342374236255309,9.19810034321312e-05,-0.0020488791806367577,-0.002591038834946692,2022-09-01
21,ATHM,1.0126715196617237e-06,6.217058336278066e-05,0.00010002895900909444,0.0001024868069851539,-0.0005878064154134798,0.00018961331534880988,2022-09-01
22,YUMC,-2.852044675969194e-05,0.00013012575163772383,0.00031269229134035353,0.00020480240833965378,0.002402848995407321,0.0024613660972592293,2022-09-01
23,ZTO,-2.2947923432312135e-05,0.00011713770543752949,0.00016235976656673185,0.00018436077316791622,0.0015082005320401271,0.0015726873691604569,2022-09-01
24,EDU,-1.9470756152546893e-05,5.71426004766838e-05,0.00011144928570609918,4.819031259255395e-05,0.0023365797090402988,0.0017678150996560816,2022-09-01
25,TAL,-9.571933416982572e-06,4.699625921154321e-05,8.831152080524342e-05,3.963355540686436e-05,0.0016058855140221138,0.002474365585366107,2022-09-01
26,NOAH,-2.351176880859233e-05,0.00015322834259155272,0.00010707225248908816,8.427400542666027e-05,-0.0017838255640288242,-0.002701790006389382,2022-09-01
27,DQ,-8.204016231452544e-06,7.005025551886295e-05,6.424703101958879e-05,6.912027538406801e-05,0.0005425977848393221,0.002530249973544894,2022-09-01
28,JKS,-1.4103642985655359e-05,7.811951941508351e-05,7.164780699115007e-05,7.708241254577035e-05,-0.0024391676868094144,-0.005606569635475961,2022-09-01
29,XYF,1.5427057519278735e-05,0.0004618170362900731,9.526203713460184e-05,7.716878240118986e-05,0.0006129169860757828,-0.0006437134792633884,2022-09-01
30,TISI,-1.1660177181421356e-06,2.681508877542444e-05,4.110275144641088e-05,2.1185195941046497e-05,0.00010669998055045091,0.0006756091011146746,2022-09-01
31,GEO,1.0441876994734245e-05,0.00013125468698915017,0.0001281466584054811,0.00014326504885994807,0.0002685313076330025,8.788579113905623e-05,2022-09-01
32,TSQ,1.6200769250704447e-05,0.00017176058281433788,0.00011363796302777441,0.00018747740635839826,-0.0029921766636384814,-0.003999597722955327,2022-09-01
33,HLF,5.18535793601619e-06,0.00011181539571196745,0.0002325826421869532,0.00015413830717586586,0.0025843158305855402,0.0031417693752748195,2022-09-01
34,TUP,-5.468161150195164e-08,3.43088224995913e-05,8.078808664187878e-05,4.7294952431298e-05,0.0013257116471512068,0.0019608065850378483,2022-09-01
35,USNA,0.00016847019960585893,0.000459987567682939,0.0005007269845959048,0.0004282539213608144,-0.002298258096810259,-0.005453420995157246,2022-09-01
36,MX,3.081098981473433e-05,0.00014498129962869216,0.0004114692924053309,0.00015009716418821215,0.0021498171618788216,0.0027187914615915175,2022-09-01
37,QVCD,0.0001049178530901768,0.0003254880186701936,0.0005961034768115712,0.00033697331107361247,-0.0008318818263738681,-0.003368423241943467,2022-09-01
38,FL,2.614761971430924e-05,0.00015447434376251266,0.0003674866781927509,0.00012327630152154833,0.0011187333224750495,-0.00011745031838924015,2022-09-01
39,NL,1.9241838761259047e-05,0.00017122088316109214,0.0001695262444191911,0.0001529286002209066,-0.0015283677287403073,-0.0013990022094301597,2022-09-01
40,MED,2.200117638539867e-05,0.00010243752181521857,0.00015845790668869974,0.00018692429041898233,-0.0019014025993023933,-0.0010208505447801442,2022-09-01
41,GCI,6.239038633867188e-06,3.842035421844454e-05,9.695743122092358e-05,0.00010162131225789866,-0.003183005283726078,-0.00471858716242178,2022-09-01
42,UTI,1.5783455115115998e-05,6.24980145533261e-05,0.0002614066969783695,0.00016530639505070587,-0.0010938214075558747,0.001492733035858999,2022-09-01
43,VAPO,-1.5656227561039695e-06,3.2573357548806136e-05,5.385024186741813e-05,3.8730819718430134e-05,0.001290749989417184,0.001430896359314405,2022-09-01
44,ARC,1.2981873721742562e-05,0.0003553300234809625,0.00044672830146049364,0.00022735370767107874,0.0010092349253433297,0.0001269547038545507,2022-09-01
45,APRN,8.375091141601188e-07,3.626305062868683e-05,6.949798074298331e-05,2.7184713423010005e-05,0.0012824954821362413,-0.0002345155786435297,2022-09-01
46,MANU,8.97520471863374e-05,0.0002980754748892553,0.00032100874246471857,0.00033476924405864293,0.003751749739499728,0.0023292238871177396,2022-09-01
47,MODN,5.8632337520395095e-06,0.00011583454866862612,0.00012474660257070442,0.0001300940451678464,-0.0004848047592648802,-0.0013774939957371468,2022-09-01
48,BHC,-3.0677432390132613e-06,5.3884792057072505e-05,7.219591975496117e-05,4.299496407959282e-05,-0.0022165307366154626,-0.0018408789092557967,2022-09-01
49,FF,-2.279327490834264e-05,0.00019928534557505685,0.0003653380900645786,0.00015901084420096975,0.003339450779297096,0.001998416720732448,2022-09-01
50,PFD,0.0008326824414088257,0.0017239304984061463,0.002528727563531478,0.0011030365144500294,-0.0012829438157973415,-0.0008504249171423822,2022-09-01
51,AVD,1.9520987857074868e-05,0.00016019644835598757,0.00038314294499793933,0.00014129114714364412,-0.0033060926537897568,-0.004072273696427074,2022-09-01
52,TKC,0.00010378520985332982,0.0003967654527279727,0.0007344169835411381,0.00034994187785192097,0.004402803154913058,0.0031812248823356233,2022-09-01
53,AMN,8.236390528541965e-05,0.00020804102409106569,0.0005412927355324171,0.00019240533003326627,0.0037986684624066033,0.00204412934515311,2022-09-01
54,EVH,9.248902184441948e-05,0.00022544314716204525,0.0005150724222529688,0.00020849956552061751,0.0011539716869280712,0.0035578810148286354,2022-09-01
