,Company,RCRP,"RCRP, no extended terms",HRP,IVP,LW,OAS,dateThru
0,TNK,0.00014233043851976705,0.0001126775907628581,6.039842474229951e-05,0.00014162320876647666,0.0012452631924984557,-0.000475847887492455,2022-10-01
1,DHT,0.0012618048520024157,9.685282804015134e-05,0.00014913217024131934,0.00021495551984432318,0.0010399321550647832,-0.001898830972112966,2022-10-01
2,FRO,-1.0493579827309482e-05,5.959650201511598e-05,9.987720126994217e-05,0.00013226869396370893,-0.0065991456060663835,-0.005129945377105862,2022-10-01
3,ASC,0.00032050573033771084,0.00019516449139232663,0.00015254300370928217,0.0001382280077788485,0.0009117854350612995,0.002463365640080956,2022-10-01
4,NAT,-1.2055829618719989e-05,0.0001013357712078547,2.9299670311799443e-05,6.96778739757985e-05,0.0012188635617373354,0.0015220529623810642,2022-10-01
5,TNP,-5.380869481620196e-05,0.00015914811167764393,4.601521404851132e-05,0.00010942929566515838,0.002172549381277962,0.0026523741488751794,2022-10-01
6,OSG,0.0016009758561624568,0.0009226694702794261,0.0002846889391972084,0.00022073920718378075,0.001152194717982896,0.0022798210315081494,2022-10-01
7,NMM,0.0002199222090684749,0.00022829098675554077,0.00012079986069837162,0.00015959888000162647,-0.0009544377404381487,-0.0009111539115365433,2022-10-01
8,DSX,5.604586804077485e-05,0.0001057249239470538,0.00011090400496992137,0.00012942027628546309,-0.0016932690121346887,-0.0027051036739027443,2022-10-01
9,GNK,0.00013312920462828256,7.182748298940309e-05,0.00013130359313622418,0.00015613316511578872,0.0014918718108999697,0.002980328394890606,2022-10-01
10,SB,0.00025199883218183274,8.251036587000703e-05,0.00015369436174790752,0.0001793548101921734,-0.0002837524033613358,0.0002324446738609918,2022-10-01
11,CMRE,0.0012628752747362712,0.0003426239210994309,0.00022757219328645875,0.00023825715060117047,0.0023527869826484734,0.0021987904222249867,2022-10-01
12,DAC,0.0004777673841125027,0.00026837234401510884,0.0001569449944504466,0.0001866233676271563,-0.002842206211180982,-0.0019886757709533308,2022-10-01
13,NM,0.00018005966740375568,0.00039999637374025853,0.00011822573464582207,9.110024692149834e-05,0.0004474280818475433,0.0008427558373271513,2022-10-01
14,RIV,-0.003702633291000014,0.0016529544833321194,0.0004324607035781128,0.0006550702715613111,0.0005593325369518318,0.0016714298421885323,2022-10-01
15,WLKP,-0.0023225164988660164,0.0012918617375222079,0.0005584376816772208,0.0005119682530594555,0.004072765801982853,0.003936976980386524,2022-10-01
16,DLNG,0.0001078841286423869,0.00038430008839308963,0.0003472617878016296,0.00010398109873820607,7.513535966401597e-05,-0.0007696040734718035,2022-10-01
17,SMLP,-0.00023102459744477662,0.0004322863347929799,0.000146552250840882,0.00012483033568557063,-0.001117097246172893,-0.0016310736308161847,2022-10-01
18,USDP,-0.0012936288469460476,0.0011579704789975505,0.0008940288159783821,0.00033438448540472495,0.0013906751121588738,0.003038748320909119,2022-10-01
19,CAF,-0.021094582875822734,0.005669646168915219,0.001200869618665986,0.0012192638808801396,0.005159114389531321,0.007130128603446634,2022-10-01
20,ICL,-0.0007342748056803808,0.0001043493839346712,0.00018096733545755746,0.0002506583894733187,0.004294456709380153,0.006390017880691005,2022-10-01
21,LXU,-5.147605305907152e-05,2.9407112280645246e-05,5.099911999730921e-05,7.063903135204279e-05,-0.0011746685073955945,-0.0010192269177300862,2022-10-01
22,HCC,-0.0004348142938168937,0.00010388964155668421,0.00012932850413843993,0.00018414132335371164,0.0009309557918406654,9.122409252331982e-05,2022-10-01
23,MSB,-0.00043169260191232674,0.00014916449198969627,0.00016986619058470865,0.00017786093557829784,-0.0004418428770180872,-0.0009351992747398175,2022-10-01
24,NGS,-0.0008652956870986643,0.0002768485070517953,0.00040040502491258897,0.0002256365864479893,0.004648962134344121,0.0030120367262176286,2022-10-01
