,Company,RCRP,"RCRP, no extended terms",HRP,IVP,LW,OAS,dateThru
0,CHH,-1.1832214914870002e-05,0.00016871904917979994,0.0001793112603021496,0.00048142980763634475,0.002560943413482556,0.002986466323697223,2022-11-01
1,EAT,2.9278269614279677e-06,3.0315507980010297e-05,8.829033344240784e-05,0.0001429776464810919,-0.0005995149082399717,-0.0016779349216312408,2022-11-01
2,DRI,-1.5064808009587244e-05,9.460203367747156e-05,0.0001886196946612029,0.0004461734943200936,0.003575687447187633,0.002478381660498539,2022-11-01
3,HOG,2.407800733263242e-07,0.00012730082542619983,0.0001635656118580175,0.00021980568836659322,-0.0007926305478112945,0.001141139307591623,2022-11-01
4,NKE,-1.0733205566690423e-06,1.8105600779700985e-05,9.163268141121157e-05,0.000299767208249895,0.002335756981163567,0.005753500383571993,2022-11-01
5,UA,-1.4904929667658336e-08,9.953790657907303e-06,5.037626418961486e-05,0.00016480094051173682,-0.0014039373318317301,-0.0009800846040586115,2022-11-01
6,SKX,-4.775624011345189e-07,1.5061921576054483e-05,0.000131805069022978,0.00025297655350584877,0.004763806395468331,0.005206066479076585,2022-11-01
7,WWW,-3.201342820298225e-07,1.3515870932133975e-05,8.820401516419082e-05,0.00022700944423167062,0.003909715038308865,0.003577566269806238,2022-11-01
8,GOLF,-7.841638811912932e-06,8.902338236294777e-05,0.0002498788201624324,0.0004804883261055416,0.002094511429521821,0.0038079964226851873,2022-11-01
9,F,-6.550588654441115e-07,6.950177801548393e-05,0.00010017155385706835,0.00022052499788942432,-0.0015966879025311484,-0.00014803132818082057,2022-11-01
10,TJX,-1.0305302100635791e-05,0.00015500430980110042,0.00038222716404189916,0.0005135494902975746,0.002876185421894438,0.00361432358305702,2022-11-01
11,YETI,9.802060756306369e-07,1.9276582353827334e-05,9.325489436760924e-05,0.00015203515534668603,-0.0007649948244845485,0.0007636271825310675,2022-11-01
12,MOV,-1.0470052819776269e-06,1.8816039661696308e-05,8.98732455751597e-05,0.0002602627052117619,-0.0003237292557166371,0.00010933102465421639,2022-11-01
13,BKE,-1.22739591191851e-06,1.124407208004085e-05,0.00013034992250364745,0.00027944463170789563,0.0006147820956282786,-0.0005515931491886938,2022-11-01
14,GES,-1.0206019536179892e-07,4.299893657560184e-06,4.98476709369208e-05,0.00019081849510317635,-0.0023201561886447273,-0.0014025849949865932,2022-11-01
15,M,-2.0146087486918076e-08,3.2194189909982797e-06,3.7321978460838174e-05,0.00014286973955478097,0.0012348750953747095,0.004534645122162542,2022-11-01
