,Company,RCRP,"RCRP, no extended terms",HRP,IVP,LW,OAS,dateThru
0,CLX,0.0006874948196146658,0.0020048392955170583,0.0016773077130153107,0.0005109602781335983,0.0034329809667458166,0.0034786891029449465,2021-11-01
1,BAH,0.00016620183862541032,0.0006765327597582561,0.0003827397952985207,0.0004191408920451463,-0.0005504680683734529,-0.00036084284123014403,2021-11-01
2,SAIC,2.89126715095682e-05,0.0003316012352225573,0.00031232609935163746,0.00035066241222695603,-0.0020820506744907634,-0.003510111901250611,2021-11-01
3,CACI,0.0005219237665886625,0.0003300523135703362,0.0005916237711143343,0.0005954610176406574,0.0003244711712755876,0.00048041134039469066,2021-11-01
4,LDOS,0.00011231641267943786,0.0002247388737139554,0.0003702476757343467,0.000405460688935933,-0.0006395899340235904,0.0009278811465541636,2021-11-01
5,CHE,0.0003091542354860368,0.000978204479834137,0.0010156400945045905,0.00035503645482540475,0.0007561099967650087,-0.0004895323853450795,2021-11-01
6,MOH,9.330136055494147e-05,0.0005872024861784492,0.000247710774645971,0.00028831851819769946,0.0028377940695136746,0.0047676702728766535,2021-11-01
7,CNC,6.48150384991009e-05,0.0003356061917413679,0.00048460882794680896,0.0002642859787729803,0.000176836566818782,0.0014278023532226904,2021-11-01
8,HUM,0.00033588421862611726,0.0005813534330894873,0.00039332971728803484,0.0004578090775973871,-0.0010920759111246604,-0.002139547595504757,2021-11-01
9,ABC,0.00048002351880548696,0.0010231613568776313,0.00044527707126405965,0.0005108341578236927,0.00015207104500329253,0.0006547975664801464,2021-11-01
10,CAH,7.703233736437249e-05,0.0006238647658560315,0.0002715042685475814,0.0003114771977261611,3.0310133223421796e-05,-0.00013416555467840298,2021-11-01
11,PGR,0.0008050937709711939,0.0014560574139499342,0.0012474711272692294,0.000680320103243287,-0.0018807715611187691,-0.0012176877394839514,2021-11-01
12,CNI,0.00031870929874135644,0.0006309869635530046,0.0008318107811660772,0.0003942384726956096,0.0032680443516696664,0.003768960060870952,2021-11-01
